State,County,Accident,Broken,Congestion,Construction,Event,Incident,Lane,Other,All
GA,Sumter,6,2,341,4,0,35,26,0,414
GA,Talbot,1,1,236,0,0,19,19,0,276
GA,Taliaferro,10,17,138,1,0,13,8,0,187
GA,Tattnall,3,0,330,0,0,15,1,0,349
GA,Taylor,7,1,211,1,0,9,17,0,246
GA,Telfair,3,1,167,2,0,8,1,0,182
GA,Terrell,3,1,186,0,0,5,6,0,201
GA,Thomas,3,0,377,2,0,14,3,0,399
GA,Tift,43,31,564,10,0,26,13,0,687
GA,Toombs,4,0,303,0,0,7,2,0,316
GA,Towns,1,0,74,0,0,2,0,0,77
GA,Treutlen,26,37,168,5,0,24,23,0,283
GA,Troup,74,54,1734,8,0,210,74,0,2154
GA,Turner,11,16,214,1,0,9,8,0,259
GA,Twiggs,37,31,287,1,0,23,22,1,402
GA,Union,1,1,226,0,0,7,1,0,236
GA,Upson,9,2,151,2,0,22,13,0,199
GA,Walker,8,0,422,2,0,28,16,1,477
GA,Walton,57,6,3041,6,0,253,25,0,3388
GA,Ware,2,0,501,1,0,13,1,0,518
GA,Warren,25,37,318,2,0,12,15,0,409
GA,Washington,2,0,207,5,0,4,1,0,219
GA,Wayne,2,2,427,0,0,14,1,0,446
GA,Webster,1,1,141,0,0,10,15,0,168
GA,Wheeler,2,0,89,0,0,6,1,0,98
GA,White,1,0,259,0,0,16,4,0,280
GA,Whitfield,53,21,1880,6,0,27,30,0,2017
GA,Wilcox,1,1,176,3,0,5,6,0,192
GA,Wilkes,20,1,221,2,0,16,3,0,263
GA,Wilkinson,0,0,232,4,0,2,1,0,239
GA,Worth,15,2,241,3,0,21,13,0,295
IA,ALL,4367,1274,48575,2013,818,2520,581,60,60208
IA,Adair,27,6,128,12,0,7,2,1,183
IA,Adams,1,0,62,2,0,0,0,0,65
IA,Allamakee,1,0,128,12,0,1,1,0,143
IA,Appanoose,5,1,88,6,0,9,3,0,112
IA,Audubon,1,1,238,1,0,5,1,0,247
IA,Benton,14,1,385,5,0,27,2,1,435
IA,Black Hawk,43,7,1878,26,37,47,11,1,2050
IA,Boone,18,1,314,31,0,21,3,1,389
IA,Bremer,6,2,399,8,0,8,0,0,423
IA,Buchanan,8,2,437,6,0,10,1,0,464
IA,Buena Vista,1,0,522,5,0,7,0,1,536
IA,Butler,0,0,109,5,0,7,0,0,121
IA,Calhoun,1,0,492,1,0,9,1,0,504
IA,Carroll,1,0,603,6,0,5,0,0,615
IA,Cass,34,2,541,24,0,18,9,0,628
IA,Cedar,27,8,321,10,0,21,6,0,393
IA,Cerro Gordo,14,0,1460,14,0,58,2,0,1548
IA,Cherokee,3,0,149,0,0,9,0,0,161
IA,Chickasaw,2,0,399,7,0,5,1,1,415
IA,Clarke,12,1,338,13,0,11,2,1,378
IA,Clay,0,0,644,7,0,7,0,0,658
IA,Clayton,2,0,118,4,0,6,0,0,130
IA,Clinton,16,0,585,7,103,37,4,0,752
IA,Crawford,2,0,409,3,0,2,0,0,416
IA,Dallas,145,37,665,23,1,63,8,1,943
IA,Davis,5,0,232,6,0,1,1,0,245
IA,Decatur,8,0,176,14,0,5,4,0,207
IA,Delaware,2,0,190,4,0,4,1,0,201
IA,Des Moines,4,2,199,8,69,4,0,0,286
IA,Dickinson,2,0,141,1,0,4,0,0,148
IA,Dubuque,16,0,895,37,1,29,3,1,982
IA,Emmet,0,0,76,1,0,1,0,1,79
IA,Fayette,2,0,288,4,0,7,0,0,301
IA,Floyd,10,1,573,5,0,13,2,1,605
IA,Franklin,8,1,828,11,0,14,0,0,862
IA,Fremont,16,0,412,3,0,10,2,0,443
IA,Greene,0,0,275,7,0,8,1,0,291
IA,Grundy,2,1,356,5,0,6,0,0,370
IA,Guthrie,0,0,124,0,0,1,0,0,125
IA,Hamilton,26,3,940,21,0,15,6,1,1012
IA,Hancock,1,0,163,1,0,5,0,0,170
IA,Hardin,6,0,517,3,0,9,1,0,536
IA,Harrison,19,2,770,19,0,20,2,1,833
IA,Henry,9,1,403,7,0,7,0,0,427
IA,Howard,1,0,286,0,0,4,0,0,291
IA,Humboldt,3,0,97,6,0,6,2,0,114
IA,Ida,0,0,456,7,0,15,0,0,478
IA,Iowa,35,1,332,5,0,10,4,4,391
IA,Jackson,3,1,318,18,0,10,0,0,350
IA,Jasper,62,10,335,18,0,17,10,2,454
IA,Jefferson,6,2,137,11,0,4,2,0,162
IA,Johnson,229,53,1904,36,48,78,26,2,2376
IA,Jones,6,1,156,3,0,3,0,0,169
IA,Keokuk,4,1,134,18,0,6,2,0,165
IA,Kossuth,4,0,530,10,0,5,0,1,550
IA,Lee,4,0,199,10,0,12,0,0,225
IA,Linn,263,70,1281,195,142,192,31,1,2175
IA,Louisa,1,0,115,2,0,4,0,0,122
IA,Lucas,2,0,189,8,0,5,2,0,206
IA,Lyon,0,0,96,6,0,3,0,0,105
IA,Madison,4,0,72,2,0,3,1,0,82
IA,Mahaska,4,0,211,10,0,12,1,0,238
IA,Marion,10,1,143,20,0,11,4,0,189
IA,Marshall,6,1,258,5,0,19,0,0,289
IA,Mills,26,9,402,18,0,16,3,1,475
IA,Mitchell,0,0,222,1,0,3,0,0,226
IA,Monona,11,2,717,15,0,2,1,0,748
IA,Monroe,2,0,210,6,0,5,0,0,223
IA,Montgomery,1,0,917,6,0,1,0,0,925
IA,Muscatine,4,1,459,14,0,8,0,0,486
IA,O'Brien,1,0,344,7,0,3,1,0,356
IA,Obrien,1,0,219,4,0,2,0,0,226
IA,Osceola,2,1,181,6,0,10,1,1,202
IA,Page,0,0,167,2,0,3,0,0,172
IA,Palo Alto,3,0,182,1,0,6,0,0,192
IA,Plymouth,8,2,507,9,0,23,2,0,551
IA,Pocahontas,2,0,103,2,0,4,0,0,111
IA,Polk,2211,805,4707,567,249,795,243,22,9599
IA,Pottawattamie,404,128,1740,232,0,214,75,5,2798
IA,Poweshiek,22,2,623,17,0,19,4,1,688
IA,Ringgold,0,0,23,2,0,1,0,0,26
IA,Sac,3,0,1129,7,0,13,1,1,1154
IA,Scott,147,35,1586,115,116,94,19,0,2112
IA,Shelby,1,0,118,3,0,4,0,0,126
IA,Sioux,14,4,592,5,0,26,5,0,646
IA,Story,125,23,1003,36,52,54,18,1,1312
IA,Tama,8,0,407,5,0,9,3,1,433
IA,Taylor,0,0,36,2,0,2,1,0,41
IA,Union,0,0,89,0,0,6,1,0,96
IA,Van Buren,2,0,166,7,0,1,1,0,177
IA,Wapello,15,0,368,17,0,14,1,0,415
IA,Warren,66,18,649,38,0,33,11,2,817
IA,Washington,5,1,311,11,0,5,1,0,334
IA,Wayne,0,0,187,8,0,3,0,0,198
IA,Webster,3,1,690,6,0,15,1,1,717
IA,Winnebago,0,0,145,5,0,1,0,0,151
IA,Winneshiek,0,0,246,8,0,16,1,0,271
IA,Woodbury,103,20,2070,33,0,97,21,0,2344
IA,Worth,9,1,451,10,0,19,0,1,491
IA,Wright,1,0,390,3,0,11,1,0,406
ID,ALL,95,3,29036,759,48,312,8,36,30297
ID,Ada,23,0,4982,129,24,80,4,0,5242
ID,Adams,0,0,147,18,0,1,0,1,167
ID,Bannock,2,0,987,21,10,8,0,1,1029
ID,Bear Lake,0,0,357,4,0,1,0,3,365
ID,Benewah,1,0,814,22,0,0,0,3,840
ID,Bingham,1,0,732,17,0,14,1,3,768
ID,Blaine,0,0,175,10,0,4,0,0,189
ID,Boise,3,0,261,10,0,4,0,1,279
ID,Bonner,1,0,401,16,0,1,0,0,419
ID,Bonneville,3,0,494,18,0,7,0,3,525
ID,Boundary,0,0,273,5,0,5,0,0,283
ID,Butte,0,0,89,1,0,1,0,1,92
ID,Camas,0,0,45,0,0,0,0,0,45
ID,Canyon,15,0,1651,70,0,24,1,0,1761
ID,Caribou,0,0,256,4,0,0,0,0,260
ID,Cassia,1,0,762,23,0,7,0,0,793
ID,Clark,1,0,469,14,0,6,0,2,492
ID,Clearwater,1,0,23,11,0,0,0,0,35
ID,Custer,0,0,57,11,0,0,0,3,71
ID,Elmore,4,0,403,26,0,7,0,1,441
ID,Franklin,0,0,58,6,0,0,0,1,65
ID,Fremont,1,0,734,2,0,12,0,2,751
ID,Gem,0,0,37,9,0,4,0,0,50
ID,Gooding,2,1,470,19,0,3,0,0,495
ID,Idaho,0,0,853,13,0,1,0,0,867
ID,Jefferson,1,0,447,12,0,6,1,1,468
ID,Jerome,2,0,697,22,0,15,0,0,736
ID,Kootenai,11,1,3441,53,0,42,0,1,3549
ID,Latah,2,0,555,14,14,3,1,0,589
ID,Lemhi,1,0,104,20,0,2,0,1,128
ID,Lewis,2,0,211,4,0,1,0,0,218
ID,Lincoln,1,0,122,1,0,1,0,0,125
ID,Madison,2,0,87,3,0,1,0,0,93
ID,Minidoka,1,1,123,21,0,5,0,1,152
ID,Nez Perce,1,0,2560,24,0,4,0,0,2589
ID,Oneida,1,0,449,9,0,4,0,0,463
ID,Owyhee,2,0,243,6,0,1,0,0,252
ID,Payette,0,0,539,31,0,9,0,3,582
ID,Power,1,0,238,1,0,0,0,0,240
ID,Shoshone,2,0,1987,30,0,12,0,0,2031
ID,Teton,0,0,72,5,0,3,0,2,82
ID,Twin Falls,2,0,1085,16,0,9,0,0,1112
ID,Valley,3,0,161,2,0,3,0,1,170
ID,Washington,1,0,385,6,0,1,0,1,394
IL,ALL,31788,3450,408156,9325,1530,24324,2679,34,481286
IL,Adams,7,0,225,2,0,4,0,0,238
IL,Alexander,0,0,47,5,0,3,0,0,55
IL,Benton,0,0,0,1,0,0,0,0,1
IL,Bond,6,2,567,10,0,37,1,0,623
IL,Boone,71,10,551,68,0,9,4,0,713
IL,Brown,1,0,11,0,0,3,0,0,15
IL,Bureau,20,7,573,8,0,18,1,0,627
IL,Calhoun,0,0,6,2,0,8,2,0,18
IL,Carroll,3,1,103,3,0,4,0,0,114
IL,Cass,0,0,96,1,0,5,0,0,102
IL,Champaign,27,3,2232,26,50,72,8,0,2418
IL,Christian,2,0,123,1,0,7,1,0,134
IL,Clark,15,1,300,4,0,7,3,0,330
IL,Clay,0,1,332,4,0,5,0,0,342
IL,Clinton,2,0,189,5,0,8,0,0,204
IL,Coles,6,0,286,5,22,9,0,0,328
IL,Cook,7194,1021,266607,2594,983,18434,796,7,297636
IL,Crawford,0,0,101,0,0,1,0,0,102
IL,Cumberland,3,1,457,2,0,16,0,0,479
IL,De Witt,1,0,263,4,0,4,0,0,272
IL,DeKalb,38,7,732,30,33,18,7,0,865
IL,Dekalb,11,2,162,6,7,7,0,0,195
IL,Dewitt,0,0,20,0,0,1,0,0,21
IL,Douglas,0,1,163,3,0,8,0,0,175
IL,DuPage,8022,114,29829,700,0,856,129,2,39652
IL,Dupage,5606,3,6367,173,1,179,8,0,12337
IL,Edgar,0,0,85,1,0,6,0,0,92
IL,Edwards,0,0,97,0,0,0,0,0,97
IL,Effingham,23,1,672,11,0,25,4,0,736
IL,Fayette,9,1,478,5,0,22,4,0,519
IL,Ford,5,0,560,4,0,14,2,0,585
IL,Franklin,9,1,421,5,0,17,1,0,454
IL,Fulton,0,0,144,2,0,12,0,0,158
IL,Gallatin,0,0,52,0,0,2,0,0,54
IL,Greene,0,0,78,2,0,8,0,0,88
IL,Grundy,40,5,920,16,0,23,1,0,1005
IL,Hamilton,0,0,11,0,0,0,0,0,11
IL,Hancock,2,0,95,1,0,0,0,0,98
IL,Hardin,0,0,0,0,0,2,0,0,2
IL,Henderson,0,0,349,2,0,3,0,0,354
IL,Henry,7,2,461,20,0,25,0,0,515
IL,Iroquois,11,4,933,8,0,27,6,0,989
IL,Jackson,1,0,438,1,7,4,0,0,451
IL,Jasper,5,0,179,0,0,2,0,0,186
IL,Jefferson,11,2,534,7,0,20,6,0,580
IL,Jersey,0,0,125,5,0,8,1,0,139
IL,Jo Daviess,8,1,373,6,0,23,4,1,416
IL,Johnson,1,0,56,0,0,6,1,0,64
IL,Kane,2611,33,7195,388,111,499,60,2,10899
IL,Kankakee,21,3,2977,6,0,47,1,0,3055
IL,Kendall,29,6,1735,7,0,52,1,0,1830
IL,Kenosha,0,0,1,0,0,0,0,0,1
IL,Knox,5,1,293,14,0,9,5,0,327
IL,La Salle,11,1,207,6,0,13,1,0,239
IL,LaSalle,44,4,1007,21,0,39,7,0,1122
IL,Lake,5768,1812,25631,4178,1,1516,1159,18,40083
IL,Lawrence,2,0,196,4,0,9,0,0,211
IL,Lee,14,5,977,35,0,16,2,0,1049
IL,Livingston,11,0,1166,17,0,29,2,0,1225
IL,Logan,8,2,758,8,0,14,3,0,793
IL,Macon,22,1,865,7,0,25,4,0,924
IL,Macoupin,2,1,182,14,0,8,2,0,209
IL,Madison,109,8,3032,75,34,197,22,0,3477
IL,Marion,7,1,565,7,0,17,1,0,598
IL,Marshall,4,0,296,3,0,10,0,1,314
IL,Mason,5,0,102,2,0,5,0,0,114
IL,Massac,1,0,51,2,0,6,2,0,62
IL,McDonough,1,0,124,7,5,6,0,0,143
IL,McHenry,72,7,1962,16,0,68,5,0,2130
IL,McLean,25,5,1458,12,26,39,2,0,1567
IL,Mcdonough,0,0,29,0,22,4,0,0,55
IL,Mchenry,48,7,1985,11,0,50,2,0,2103
IL,Mclean,1,0,48,1,12,0,1,0,63
IL,Menard,1,0,43,0,0,4,0,0,48
IL,Mercer,1,0,86,1,0,1,0,0,89
IL,Monroe,5,0,150,3,0,5,1,0,164
IL,Montgomery,8,1,172,8,0,13,1,0,203
IL,Morgan,1,0,218,2,0,10,0,0,231
IL,Moultrie,0,0,106,4,0,0,0,0,110
IL,Newton,0,0,0,0,0,1,0,0,1
IL,Ogle,16,2,792,12,0,17,2,0,841
IL,Peoria,31,6,1379,53,136,39,24,0,1668
IL,Perry,1,0,306,2,0,2,0,0,311
IL,Piatt,5,0,176,1,0,1,0,0,183
IL,Pike,0,0,199,4,0,1,0,0,204
IL,Pope,0,0,7,0,0,0,0,0,7
IL,Pulaski,4,0,53,0,0,0,0,0,57
IL,Putnam,1,0,85,2,0,3,1,0,92
IL,Randolph,1,0,206,2,0,3,0,0,212
IL,Richland,0,1,438,3,0,7,0,0,449
IL,Rock Island,32,15,783,37,2,55,11,0,935
IL,Saint Clair,13,0,660,7,0,31,0,0,711
IL,Saline,2,0,108,4,0,3,0,0,117
IL,Sangamon,42,3,1204,21,1,91,8,0,1370
IL,Schuyler,0,0,87,2,0,1,0,0,90
IL,Scott,0,0,73,6,0,0,2,0,81
IL,Shelby,0,0,90,1,0,0,0,0,91
IL,St. Clair,160,12,2820,75,0,279,12,0,3358
IL,Stark,1,0,74,0,0,1,0,0,76
IL,Stephenson,4,0,289,1,0,10,0,0,304
IL,Tazewell,684,227,805,245,0,122,256,1,2340
IL,Union,3,0,112,1,0,10,0,0,126
IL,Vermilion,16,4,491,7,1,14,1,0,534
IL,Wabash,1,0,54,0,0,0,1,0,56
IL,Warren,0,0,331,2,0,11,1,0,345
IL,Washington,6,0,247,3,0,17,1,0,274
IL,Wayne,1,0,168,0,0,1,1,0,171
IL,White,5,1,230,2,0,6,0,0,244
IL,Whiteside,7,1,647,7,0,21,3,0,686
IL,Will,563,63,18594,153,0,580,63,2,20018
IL,Williamson,13,3,955,4,0,39,1,0,1015
IL,Winnebago,164,22,4149,45,76,252,13,0,4721
IL,Woodford,8,1,524,11,0,23,4,0,571
IN,ALL,12211,1266,88809,3361,384,4336,795,25,111187
IN,Adams,0,0,208,14,0,3,0,0,225
IN,Allen,45,5,2160,362,76,66,2,0,2716
IN,Bartholomew,474,5,916,52,0,75,48,0,1570
IN,Benton,2,0,89,4,0,2,0,0,97
IN,Blackford,0,0,65,6,0,1,0,0,72
IN,Boone,184,21,1176,64,1,93,25,0,1564
IN,Brown,0,0,353,17,0,11,0,0,381
IN,Carroll,0,0,122,4,0,2,0,0,128
IN,Cass,2,0,238,11,0,5,0,0,256
IN,Clark,101,27,1125,50,0,42,23,0,1368
IN,Clay,4,0,191,7,0,10,2,0,214
IN,Clinton,6,0,659,13,0,12,5,0,695
IN,Crawford,2,0,154,3,0,6,0,0,165
IN,Daviess,1,0,255,3,0,9,0,0,268
IN,De Kalb,0,0,22,4,0,0,0,0,26
IN,DeKalb,4,0,261,9,0,2,0,0,276
IN,Dearborn,34,9,1074,11,0,43,2,0,1173
IN,Decatur,4,1,518,10,0,12,0,0,545
IN,Delaware,19,1,674,17,13,22,2,0,748
IN,Dubois,2,0,254,4,0,8,0,0,268
IN,Elkhart,6,1,2035,23,0,52,1,0,2118
IN,Fayette,3,0,46,2,0,3,0,0,54
IN,Floyd,104,26,730,27,0,31,21,0,939
IN,Fountain,1,1,138,1,0,6,0,0,147
IN,Franklin,1,0,414,4,0,5,0,0,424
IN,Fulton,1,0,162,4,0,3,0,0,170
IN,Gibson,12,1,622,16,0,20,1,1,673
IN,Grant,5,2,458,21,0,10,2,0,498
IN,Greene,3,0,150,9,0,9,0,0,171
IN,Hamilton,180,24,2586,56,0,79,16,0,2941
IN,Hancock,56,7,1021,23,0,19,4,0,1130
IN,Harrison,3,1,237,4,0,10,0,0,255
IN,Hendricks,770,150,1675,26,0,62,113,1,2797
IN,Henry,37,5,572,25,0,28,4,0,671
IN,Howard,58,2,415,9,0,17,1,0,502
IN,Huntington,1,0,372,29,0,5,0,0,407
IN,Jackson,27,4,1429,23,0,57,1,1,1542
IN,Jasper,18,3,996,22,0,30,1,1,1071
IN,Jay,1,0,306,5,0,8,0,0,320
IN,Jefferson,0,0,111,3,0,4,0,0,118
IN,Jennings,2,1,428,5,0,8,0,0,444
IN,Johnson,110,10,1069,14,0,26,16,0,1245
IN,Knox,3,0,315,8,0,15,3,0,344
IN,Kosciusko,1,0,767,10,0,12,0,0,790
IN,La Porte,1,0,253,6,0,0,0,0,260
IN,LaGrange,2,0,375,2,0,19,0,0,398
IN,LaPorte,4,4,2097,37,0,51,1,2,2196
IN,Lagrange,0,0,195,3,0,6,0,0,204
IN,Lake,391,102,12518,131,0,1307,61,6,14516
IN,Lawrence,2,0,452,5,0,4,0,0,463
IN,Madison,71,6,954,38,0,53,14,0,1136
IN,Marion,8592,790,18018,1535,156,1128,322,4,30545
IN,Marshall,2,0,597,19,0,18,2,1,639
IN,Martin,0,0,193,3,0,9,0,0,205
IN,Miami,4,0,457,18,0,9,0,0,488
IN,Monroe,2,1,2576,12,12,77,0,0,2680
IN,Montgomery,2,1,404,6,0,16,0,0,429
IN,Morgan,29,3,1820,12,0,34,2,0,1900
IN,Newton,0,0,548,7,0,13,2,1,571
IN,Noble,2,1,346,12,0,14,0,1,376
IN,Ohio,0,0,52,1,0,3,0,0,56
IN,Orange,0,0,91,3,0,2,0,0,96
IN,Owen,1,0,196,4,0,10,0,0,211
IN,Parke,0,0,214,3,0,5,0,0,222
IN,Perry,1,0,173,3,0,23,0,0,200
IN,Pike,4,0,119,7,0,3,0,0,133
IN,Porter,26,4,2991,46,8,68,2,0,3145
IN,Posey,3,0,234,12,0,9,1,0,259
IN,Pulaski,0,0,119,5,0,1,0,1,126
IN,Putnam,36,2,613,13,0,19,2,0,685
IN,Randolph,3,0,215,3,0,6,0,0,227
IN,Ripley,5,2,727,10,0,26,0,0,770
IN,Rush,6,0,304,4,0,5,0,0,319
IN,Saint Joseph,0,0,0,1,0,1,0,0,2
IN,Scott,8,0,305,2,0,14,4,0,333
IN,Shelby,90,6,566,14,0,16,0,0,692
IN,Spencer,6,1,331,9,0,11,0,0,358
IN,St Joseph,0,0,128,9,23,5,0,0,165
IN,St. Joseph,10,2,1954,41,66,126,4,0,2203
IN,Starke,1,0,302,9,0,15,0,0,327
IN,Steuben,6,1,495,13,0,18,0,0,533
IN,Sullivan,1,0,81,2,0,2,0,0,86
IN,Switzerland,1,0,99,5,0,5,0,0,110
IN,Tippecanoe,30,3,2790,92,12,50,2,1,2980
IN,Tipton,10,0,319,3,0,12,1,0,345
IN,Union,1,0,34,0,0,0,1,0,36
IN,Vanderburgh,143,13,1629,33,9,55,8,2,1892
IN,Vermillion,1,0,258,13,0,10,1,0,283
IN,Vigo,22,2,716,15,8,22,4,0,789
IN,Wabash,2,0,219,15,0,6,0,0,242
IN,Warren,0,0,89,3,0,2,0,0,94
IN,Warrick,11,1,451,3,0,16,1,0,483
IN,Washington,2,0,112,6,0,4,0,0,124
IN,Wayne,386,12,832,52,0,45,66,2,1395
IN,Wells,0,0,207,5,0,1,0,0,213
IN,White,4,2,678,11,0,10,0,0,705
IN,Whitley,0,0,795,11,0,9,1,0,816
KS,ALL,1347,1760,26732,556,65,724,176,2,31362
KS,Allen,0,0,101,1,0,1,0,0,103
KS,Anderson,0,0,151,1,0,1,0,0,153
KS,Atchison,0,0,39,0,0,1,0,0,40
KS,Barber,0,0,128,0,0,2,0,0,130
KS,Barton,0,0,228,1,0,2,0,0,231
KS,Bourbon,0,0,82,2,0,1,0,0,85
KS,Brown,0,0,370,2,0,6,0,0,378
KS,Butler,3,1,582,11,0,10,0,0,607
KS,Chase,0,0,234,2,0,2,1,0,239
KS,Chautauqua,0,0,34,0,0,0,0,0,34
KS,Cherokee,0,0,263,0,0,2,0,0,265
KS,Cheyenne,0,0,45,0,0,3,0,0,48
KS,Clark,0,0,173,1,0,0,0,0,174
KS,Clay,0,0,14,0,0,0,0,0,14
KS,Cloud,0,0,27,0,0,0,0,0,27
KS,Coffey,1,0,108,1,0,0,0,0,110
KS,Comanche,0,0,19,0,0,0,0,0,19
KS,Cowley,0,0,205,0,0,2,0,0,207
KS,Crawford,0,0,175,0,0,1,0,0,176
KS,Decatur,0,0,103,1,0,1,0,0,105
KS,Dickinson,0,0,184,1,0,0,0,0,185
KS,Doniphan,0,0,60,0,0,1,0,0,61
KS,Douglas,2,2,664,1,16,3,2,0,690
KS,Edwards,0,0,276,0,0,1,0,0,277
KS,Elk,0,0,4,0,0,0,0,0,4
KS,Ellis,0,0,225,4,0,0,0,0,229
KS,Ellsworth,0,2,196,1,0,1,0,0,200
KS,Finney,1,1,172,2,0,2,0,0,178
KS,Ford,0,0,516,0,0,5,0,0,521
KS,Franklin,1,0,390,6,0,3,0,0,400
KS,Geary,0,0,214,18,0,1,0,0,233
KS,Gove,0,0,128,1,0,3,1,0,133
KS,Graham,0,0,37,3,0,0,0,0,40
KS,Grant,0,0,16,0,0,0,0,0,16
KS,Gray,1,0,99,0,0,0,0,0,100
KS,Greeley,0,0,138,0,0,1,0,0,139
KS,Greenwood,0,0,440,0,0,2,0,0,442
KS,Hamilton,0,0,110,0,0,0,0,0,110
KS,Harper,0,0,61,0,0,1,0,0,62
KS,Harvey,0,0,566,2,0,3,0,0,571
KS,Haskell,0,0,102,1,0,0,0,0,103
KS,Hodgeman,0,1,139,1,0,2,0,0,143
KS,Jackson,0,0,77,0,0,3,0,0,80
KS,Jefferson,0,0,82,0,0,0,0,0,82
KS,Jewell,0,0,40,5,0,1,0,0,46
KS,Johnson,893,1072,5026,224,0,444,97,0,7756
KS,Kearny,0,0,42,0,0,0,0,0,42
KS,Kingman,0,0,202,0,0,2,0,0,204
KS,Kiowa,0,0,249,0,0,3,0,0,252
KS,Labette,3,0,142,0,0,0,0,0,145
KS,Lane,0,0,11,0,0,0,0,0,11
KS,Leavenworth,1,1,357,5,0,3,0,0,367
KS,Lincoln,0,0,100,0,0,0,0,0,100
KS,Linn,0,0,208,1,0,1,0,0,210
KS,Logan,0,0,216,0,0,0,0,0,216
KS,Lyon,0,0,318,8,0,2,0,0,328
KS,Marion,0,0,263,0,0,1,0,0,264
KS,Marshall,0,0,161,0,0,0,0,0,161
KS,McPherson,0,0,375,2,0,0,0,0,377
KS,Mcpherson,0,0,19,0,0,1,0,0,20
KS,Meade,0,0,176,0,0,0,0,0,176
KS,Miami,0,0,233,3,0,1,0,0,237
KS,Mitchell,0,0,18,1,0,0,0,0,19
KS,Montgomery,0,0,273,0,0,0,0,0,273
KS,Morris,0,0,38,7,0,0,0,0,45
KS,Morton,0,0,31,0,0,0,0,0,31
KS,Nemaha,0,0,52,0,0,1,0,0,53
KS,Neosho,3,0,122,1,0,1,0,0,127
KS,Ness,0,0,134,0,0,0,0,0,134
KS,Norton,0,0,81,5,0,1,0,0,87
KS,Osage,0,0,202,0,0,1,0,0,203
KS,Osborne,0,0,8,0,0,0,0,0,8
KS,Ottawa,0,0,88,0,0,0,0,0,88
KS,Pawnee,0,0,99,0,0,0,0,0,99
KS,Phillips,0,0,86,5,0,0,0,0,91
KS,Pottawatomie,0,0,189,0,0,1,0,0,190
KS,Pratt,0,0,199,0,0,0,0,0,199
KS,Rawlins,0,0,41,0,0,1,0,0,42
KS,Reno,0,0,570,0,0,2,0,0,572
KS,Republic,0,0,137,0,0,0,0,0,137
KS,Rice,0,1,181,0,0,0,0,0,182
KS,Riley,0,0,230,0,16,1,0,0,247
KS,Rooks,0,0,57,0,0,0,0,0,57
KS,Rush,0,0,73,0,0,0,0,0,73
KS,Russell,0,0,165,2,0,0,0,0,167
KS,Saline,2,0,331,5,0,4,0,0,342
KS,Scott,0,0,237,0,0,1,0,0,238
KS,Sedgwick,10,20,3018,60,15,41,1,0,3165
KS,Seward,0,0,215,0,0,1,0,0,216
KS,Shawnee,11,4,611,11,0,11,1,0,649
KS,Sheridan,0,0,182,1,0,1,0,0,184
KS,Sherman,0,0,173,1,0,2,0,0,176
KS,Smith,0,0,57,3,0,0,0,0,60
KS,Stafford,0,0,318,0,0,2,0,0,320
KS,Stanton,0,0,19,0,0,0,0,0,19
KS,Stevens,0,0,45,0,0,0,0,0,45
KS,Sumner,4,0,305,1,0,5,1,0,316
KS,Thomas,0,0,251,0,0,1,0,0,252
KS,Trego,0,0,118,0,0,1,0,0,119
KS,Wabaunsee,0,0,122,0,0,0,0,0,122
KS,Wallace,0,0,17,0,0,0,0,0,17
KS,Washington,0,0,134,2,0,1,0,0,137
KS,Wichita,0,0,113,0,0,0,0,0,113
KS,Wilson,0,0,132,0,0,0,0,0,132
KS,Woodson,0,0,61,0,0,0,0,0,61
KS,Wyandotte,411,655,1084,139,18,118,72,2,2499
KY,ALL,6352,2860,86552,930,222,1721,616,7,99260
KY,Adair,1,0,325,2,0,3,0,0,331
KY,Allen,1,0,291,1,0,8,0,0,301
KY,Anderson,2,1,304,2,0,2,0,0,311
KY,Ballard,0,0,189,0,0,2,0,0,191
KY,Barren,2,0,681,1,0,4,0,0,688
KY,Bath,2,0,271,2,0,0,1,0,276
KY,Bell,1,0,348,0,0,3,0,0,352
KY,Boone,268,176,1855,16,0,42,30,0,2387
KY,Bourbon,1,0,572,0,0,2,0,0,575
KY,Boyd,4,0,635,5,0,9,1,0,654
KY,Boyle,1,0,376,2,0,2,0,0,381
KY,Bracken,0,0,1816,3,0,7,0,0,1826
KY,Breathitt,0,0,230,1,0,1,0,0,232
KY,Breckinridge,0,0,160,1,0,0,0,0,161
KY,Bullitt,37,14,897,22,0,17,0,0,987
KY,Butler,0,1,409,1,0,10,0,0,421
KY,Caldwell,0,1,182,3,0,1,0,0,187
KY,Calloway,0,0,539,1,5,3,0,0,548
KY,Campbell,148,74,1567,16,0,40,1,1,1847
KY,Carlisle,0,0,69,0,0,1,0,0,70
KY,Carroll,2,1,414,2,0,3,1,0,423
KY,Carter,1,0,523,2,0,9,0,0,535
KY,Casey,0,0,113,0,0,0,0,0,113
KY,Christian,0,0,557,0,0,19,0,0,576
KY,Clark,3,0,623,2,0,3,0,0,631
KY,Clay,0,0,448,1,0,1,0,0,450
KY,Clinton,0,0,226,0,0,0,0,0,226
KY,Crittenden,0,0,54,2,0,0,0,0,56
KY,Cumberland,0,0,321,0,0,1,0,0,322
KY,Daviess,3,0,566,3,0,16,0,0,588
KY,Edmonson,0,0,91,0,0,0,0,0,91
KY,Elliott,0,0,24,0,0,0,0,0,24
KY,Estill,0,0,61,0,0,0,0,0,61
